Name,Display Name,XML Attribute,Type,Filterable,Supports Zero Impressions,Enum Values,Behavior,Notes
AccountCurrencyCode,Currency,currency,String,True,True,,Attribute,"The currency of the Customer account.
"
AccountDescriptiveName,Account,account,String,True,True,,Attribute,"The descriptive name of the Customer account.
"
AccountTimeZoneId,Time zone,timeZone,String,True,True,,Attribute,"Name of the timezone selected for the Customer account. For example: ""(GMT-05:00) Eastern Time"". This field does not reflect the current state of daylight saving time for the timezone.
"
ActiveViewCpm,Active View avg. CPM,activeViewAvgCPM,Money,True,True,,Metric,"Average cost of viewable impressions (ActiveViewImpressions).
"
ActiveViewImpressions,Active View viewable impressions,activeViewViewableImpressions,Long,True,True,,Metric,"How often your ad has become viewable on a Display Network site.
"
AdGroupId,Ad group ID,adGroupID,Long,True,True,,Attribute,"The ID of the AdGroup.
"
AdGroupName,Ad group,adGroup,String,True,True,,Attribute,"The name of the AdGroup.
"
AdGroupStatus,Ad group state,adGroupState,AdGroupStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"Status of the ad group.
"
AdNetworkType1,Network,network,AdNetworkType1,True,True,"UNKNOWN / unknown
SEARCH / Search Network
CONTENT / Display Network
",Segment,"First level network type.
"
AdNetworkType2,Network (with search partners),networkWithSearchPartners,AdNetworkType2,True,True,"UNKNOWN / unknown
SEARCH / Google search
SEARCH_PARTNERS / Search partners
CONTENT / Display Network
",Segment,"Second level network type (includes search partners).
"
AdvertiserExperimentSegmentationBin,ACE split,aCESplit,AdvertiserExperimentSegmentationBin,True,True,"OUTSIDE_OF_EXPERIMENT / outside experiment
CONTROL / control
EXPERIMENT / experiment
",Segment,"Experiment group of the impressions.
"
AverageCpc,Avg. CPC,avgCPC,Money,True,True,,Metric,"The total cost of all clicks divided by the total number of clicks received.
"
AverageCpm,Avg. CPM,avgCPM,Money,True,True,,Metric,"Average Cost-per-thousand impressions (CPM).
"
AveragePageviews,Pages / session,pagesSession,Double,True,True,,Metric,"Average number of pages viewed per session. Imported from Google Analytics.
"
AveragePosition,Avg. position,avgPosition,Double,True,True,,Metric,"Your ad's position relative to those of other advertisers.
"
AverageTimeOnSite,Avg. session duration (seconds),avgSessionDurationSeconds,Double,True,True,,Metric,"Total duration of all sessions (in seconds) / number of sessions. Imported from Google Analytics.
"
AvgCostForOfflineInteraction,Avg. CPP,avgCPP,Money,True,True,,Metric,"Average price paid for each phone call. Equal to NumOfflineInteractions divided by OfflineInteractionCost.
"
BidType,Conversion optimizer bid type,conversionOptimizerBidType,BidType,True,True,"TARGET_CPA / target cpa
",Attribute,"The bid type.
"
BiddingStrategyId,Bid Strategy ID,bidStrategyID,Long,True,True,,Attribute,"The ID of the BiddingStrategyConfiguration.
"
BiddingStrategyName,Bid Strategy Name,bidStrategyName,String,True,True,,Attribute,"The name of the BiddingStrategyConfiguration.
"
BiddingStrategyType,Bid Strategy Type,bidStrategyType,BiddingStrategyType,True,True,"BUDGET_OPTIMIZER / auto
CONVERSION_OPTIMIZER / max/target cpa
MANUAL_CPC / cpc
MANUAL_CPM / cpm
PAGE_ONE_PROMOTED / Target search page location
TARGET_SPEND / Maximize clicks
ENHANCED_CPC / Enhanced CPC
TARGET_CPA / Target CPA
TARGET_ROAS / Target ROAS
TARGET_OUTRANK_SHARE / Target Outranking Share
NONE / None
UNKNOWN / unknown
",Attribute,"The type of the BiddingStrategyConfiguration.
"
BounceRate,Bounce rate,bounceRate,Double,True,True,,Metric,"Percentage of clicks where the user only visited a single page on your site, formatted as ""x.xx%"". Imported from Google Analytics.
"
CampaignId,Campaign ID,campaignID,Long,True,True,,Attribute,"The ID of the Campaign.
"
CampaignName,Campaign,campaign,String,True,True,,Attribute,"The name of the Campaign.
"
CampaignStatus,Campaign state,campaignState,CampaignStatus,True,True,"UNKNOWN / unknown
ENABLED / enabled
PAUSED / paused
REMOVED / removed
",Attribute,"The status of the Campaign.
"
ClickAssistedConversionValue,Click Assisted Conv. Value,clickAssistedConvValue,Double,True,True,,Metric,"The total value of all conversions for which this keyword, ad, ad group, or campaign triggered assist clicks.
"
ClickAssistedConversions,Click Assisted Conv.,clickAssistedConv,Long,True,True,,Metric,"The total number of conversions for which this keyword, ad, ad group, or campaign contributed one or more assist clicks.
"
ClickAssistedConversionsOverLastClickConversions,Click Assisted Conv. / Last Click Conv.,clickAssistedConvLastClickConv,Double,True,True,,Metric,"The total number of conversions for which this keyword, ad, ad group, or campaign received assist clicks divided by the total number of conversions for which it triggered the last click.
"
ClickConversionRate,Click conversion rate,clickConversionRate,Double,True,True,,Metric,"The number of converted clicks divided by your total clicks that can be tracked to a conversion. This is how often a click on your ad resulted in a conversion. Percentage returned as ""x.xx%"".
"
ClickConversionRateSignificance,Click conversion rate ACE indicator,clickConversionRateACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ClickConversionRate.
"
ClickSignificance,Clicks ACE indicator,clicksACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Clicks.
"
ClickType,Click type,clickType,ClickType,True,False,"URL_CLICKS / Headline
CALLS / Phone calls
OTHER / Other
PRODUCT_EXTENSION_CLICKS / Product plusbox offer
SITELINKS / Sitelink
PRODUCT_LISTING_AD_CLICKS / Product listing ad
GET_DIRECTIONS / Driving direction
OFFER_PRINTS / Print offer
BREADCRUMBS / Breadcrumbs
CALL_TRACKING / Manually dialed phone calls
MOBILE_CALL_TRACKING / Mobile phone calls
LOCATION_EXPANSION / Get location details
UNKNOWN / unknown
",Segment,"The Impressions field will reflect how often the ad was served with that click type available. Since ads can serve with multiple click types displayed, impressions may be double counted and the totals may not be accurate.
"
Clicks,Clicks,clicks,Long,True,True,,Metric,"The number of clicks.
"
ContentBidCriterionTypeGroup,Content Network Bid Dimension,contentNetworkBidDimension,CriterionTypeGroup,True,True,"KEYWORD / Keyword
USER_INTEREST_AND_LIST / User Interest and List
VERTICAL / Vertical
GENDER / Gender
AGE_RANGE / Age
PLACEMENT / Placement
NONE / None
UNKNOWN / unknown
",Attribute,"The type of criteria the ad group uses for absolute bids on the Display Network.
"
ContentImpressionShare,Content Impr. share,contentImprShare,Double,True,True,,Metric,"The impressions you’ve received on the Display Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"".
"
ContentRankLostImpressionShare,Content Lost IS (rank),contentLostISRank,Double,True,True,,Metric,"The estimated percentage of impressions on the Display Network that your ads didn't receive due to poor Ad Rank. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"".
"
ConversionCategoryName,Conversion category,conversionCategory,String,True,False,,Segment,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc). Prevents zero-conversion rows from being returned.  Values: ""Other"", ""View of a key page"", ""Purchase/Sale"", ""Signup"", ""Lead""
"
ConversionManyPerClickSignificance,Conversion ACE indicator,conversionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ConversionManyPerClick.
"
ConversionRateManyPerClick,Conv. rate,convRate,Double,True,True,,Metric,"The number of conversions divided by total clicks that can be tracked to conversions. Percentage returned as ""x.xx%"".
"
ConversionRateManyPerClickSignificance,Conversion rate ACE indicator,conversionRateACEIndicator,SignificanceData,False,True,,Metric,"Statistical significance of the experiment's change in ConversionRateManyPerClick.
"
ConversionTrackerId,Conversion Tracker Id,conversionTrackerId,Long,True,False,,Segment,"ID of the conversion tracker.
"
ConversionTypeName,Conversion name,conversionName,String,True,False,,Attribute,"Not compatible with non-conversion stats (AverageCpc, Clicks, etc).  Prevents zero-conversion rows from being returned.
"
ConversionValue,Total conv. value,totalConvValue,Double,True,True,,Metric,"The sum of conversion values for all conversions.
"
ConversionsManyPerClick,Conversions,conversions,Long,True,True,,Metric,"This column reports total conversions, across all the conversion actions you're tracking. How you've chosen to count your conversions (unique or all) affects the number shown in this column.
"
ConvertedClicks,Converted clicks,convertedClicks,Long,True,True,,Metric,"The number of clicks that converted within your chosen conversion window.
"
ConvertedClicksSignificance,Converted clicks ACE indicator,convertedClicksACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ConvertedClicks.
"
Cost,Cost,cost,Money,True,True,,Metric,"The sum of your cost-per-click (CPC) and cost-per-thousand impressions (CPM) costs during this period. Other costs such as cost-per-call aren't included. For a sum of all costs, use the TotalCost column.
"
CostPerConversionManyPerClick,Cost / conv.,costConv,Money,True,True,,Metric,"Total cost divided by your total conversions.
"
CostPerConversionManyPerClickSignificance,Cost/conversion ACE indicator,costConversionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CostPerConversionManyPerClick.
"
CostPerConvertedClick,Cost / converted click,costConvertedClick,Money,True,True,,Metric,"Cost divided by your total converted clicks.
"
CostPerConvertedClickSignificance,Cost/converted click ACE indicator,costConvertedClickACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CostPerConvertedClick.
"
CostPerEstimatedTotalConversion,Cost / est. total conv.,costEstTotalConv,Double,True,True,,Metric,"Total cost divided by total estimated conversions.
"
CostSignificance,Cost ACE indicator,costACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Cost.
"
CpcBid,Default max. CPC,defaultMaxCPC,Money,True,True,,Attribute,"Cost per click bid. Values can be one of: a) a money amount in micros, b) ""auto: x"" or ""auto"" if AdWords is automatically setting the bid via the chosen bidding strategy, or c) ""--"" if no CPC bid applies to the row.
"
CpcSignificance,CPC ACE indicator,cPCACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CPC.
"
CpmBid,Max. CPM,maxCPM,Money,True,True,,Attribute,"CPM (cost per thousand impressions) bid.
"
CpmSignificance,CPM ACE indicator,cPMACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CPM.
"
Ctr,CTR,ctr,Double,True,True,,Metric,"The number of clicks your ad receives (Clicks) divided by the number of times your ad is shown (Impressions). Percentage returned as ""x.xx%"".
"
CtrSignificance,CTR ACE indicator,cTRACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in CTR.
"
CustomerDescriptiveName,Client name,clientName,String,True,True,,Attribute,"The descriptive name of the Customer.
"
Date,Day,day,Date,True,True,,Segment,"The date formatted as yyyy-MM-dd.
"
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"The name of the day of the week, e.g., ""Monday"".
"
Device,Device,device,DeviceType,True,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Device type where the impression was shown.
"
EnhancedCpcEnabled,Enhanced CPC enabled,enhancedCPCEnabled,Enum,True,True,"TRUE / true
FALSE / false
",Attribute,"Indicates if enhanced CPC is enabled on the bidding strategy.
"
EstimatedCrossDeviceConversions,Est. cross-device conv.,estCrossDeviceConv,Long,True,True,,Metric,"Conversions from when a customer clicks on an AdWords ad on one device, then converts on a different device or browser. Cross-device conversions are already included in your EstimatedTotalConversions column.
"
EstimatedTotalConversionRate,Est. total conv. rate,estTotalConvRate,Double,True,True,,Metric,"EstimatedTotalConversions divided by total clicks that can be conversion-tracked. This is how often a click on your ad resulted in a conversion.
"
EstimatedTotalConversionValue,Est. total conv. value,estTotalConvValue,Double,True,True,,Metric,"The total value of all of your conversions, including those that are estimated.
"
EstimatedTotalConversionValuePerClick,Est. total conv. value / click,estTotalConvValueClick,Double,True,True,,Metric,"Total value of all your estimated total conversions divided by the total number of clicks.
"
EstimatedTotalConversionValuePerCost,Est. total conv. value / cost,estTotalConvValueCost,Double,True,True,,Metric,"Total value of all your estimated total conversions divided by total cost for all ad clicks.
"
EstimatedTotalConversions,Est. total conv.,estTotalConv,Long,True,True,,Metric,"Best estimate of the total number of conversions that AdWords drives. Includes website, cross-device, and phone call conversions.
"
ExternalCustomerId,Customer ID,customerID,Long,True,True,,Attribute,"The Customer ID.
"
GmailForwards,Gmail forwards,gmailForwards,Long,True,True,,Metric,"The number of times your ad was forwarded to someone else as a message.
"
GmailSaves,Gmail saves,gmailSaves,Long,True,True,,Metric,"The number of times someone has saved your Gmail ad to their inbox as a message.
"
GmailSecondaryClicks,Gmail clicks to website,gmailClicksToWebsite,Long,True,True,,Metric,"The number of clicks to your landing page on the expanded state of Gmail ads.
"
HourOfDay,Hour of day,hourOfDay,Integer,True,False,,Segment,"The hour of day as a number between 0 and 23, inclusive.
"
ImpressionAssistedConversionValue,Impr. Assisted Conv. Value,imprAssistedConvValue,Double,True,True,,Metric,"Total value of all conversions for which this object triggered assist impressions.
"
ImpressionAssistedConversions,Impr. Assisted Conv.,imprAssistedConv,Long,True,True,,Metric,"Total number of conversions for which this object triggered assist impressions prior to the last click.
"
ImpressionAssistedConversionsOverLastClickConversions,Impr. Assisted Conv. / Last Click Conv.,imprAssistedConvLastClickConv,Double,True,True,,Metric,"Total number of conversions for which this object triggered assist impressions divided by the total number of conversions for which this object triggered the last click.
"
ImpressionSignificance,Impressions ACE indicator,impressionsACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in Impressions.
"
Impressions,Impressions,impressions,Long,True,True,,Metric,"Count of how often your ad has appeared on a search results page or website on the Google Network.
"
LabelIds,Label IDs,labelIDs,List,True,True,,Attribute,"List of label IDs for the main object of this row.
List elements are delimited by the semicolon character (;)"
Labels,Labels,labels,List,True,True,,Attribute,"List of label names for the main object of this row.
List elements are delimited by the semicolon character (;)"
Month,Month,month,String,True,True,,Segment,"The first day of the month, formatted as yyyy-MM-dd.
"
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"The name of the month of the year, e.g., ""December"".
"
NumOfflineImpressions,Phone impressions,phoneImpressions,Long,True,True,,Metric,"Number of offline phone impressions.
"
NumOfflineInteractions,Phone calls,phoneCalls,Long,True,True,,Metric,"Number of offline phone calls.
"
OfflineInteractionCost,Phone cost,phoneCost,Money,True,True,,Metric,"Cost of offline phone calls.
"
OfflineInteractionRate,PTR,ptr,Double,True,True,,Metric,"Number of phone calls received (NumOfflineInteractions) divided by the number of times your phone number is shown (NumOfflineImpressions).
"
PercentNewVisitors,% new sessions,newSessions,Double,True,True,,Metric,"Percentage of first-time sessions (from people who had never visited your site before), formatted as ""x.xx%"". Imported from Google Analytics.
"
PositionSignificance,Position ACE indicator,positionACEIndicator,SignificanceData,True,True,,Metric,"Statistical significance of the experiment's change in ad position.
"
PrimaryCompanyName,Company name,companyName,String,True,True,,Attribute,"Company name of the account.
"
Quarter,Quarter,quarter,String,True,True,,Segment,"The first day of the quarter, formatted as yyyy-MM-dd. Uses the calendar year for quarters, e.g., the second quarter of 2014 starts on 2014-04-01.
"
RelativeCtr,Relative CTR,relativeCTR,Double,True,True,,Metric,"Your clickthrough rate (Ctr) divided by the average clickthrough rate of all advertisers on the websites that show your ads. Measures how your ads perform on Display Network sites compared to other ads on the same sites.
"
SearchExactMatchImpressionShare,Search Exact match IS,searchExactMatchIS,Double,True,True,,Metric,"The impressions you've received divided by the estimated number of impressions you were eligible to receive on the Search Network for search terms that matched your keywords exactly (or were close variants of your keyword). A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
SearchImpressionShare,Search Impr. share,searchImprShare,Double,True,True,,Metric,"The impressions you've received on the Search Network divided by the estimated number of impressions you were eligible to receive. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType on any report. Not compatible with the field Device on the Product Partition Report.
"
SearchRankLostImpressionShare,Search Lost IS (rank),searchLostISRank,Double,True,True,,Metric,"The estimated percentage of impressions on the Search Network that your ads didn't receive due to poor Ad Rank. A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
Slot,Top vs. Other,topVsOther,Slot,True,True,"SearchRhs / Google search: Side
SearchTop / Google search: Top
SearchOther / Google search: Other
Content / Google Display Network
AfsTop / Search partners: Top
AfsOther / Search partners: Other
Unknown / 
",Segment,"The position of the Ad.
"
TargetCpa,Max. CPA (converted clicks),maxCPAConvertedClicks,Money,True,True,,Attribute,"The average CPA target set on the Target CPA bidding strategy.
"
TotalCost,Total cost,totalCost,Money,True,True,,Metric,"The total aggregated cost, which includes total click costs and any other costs, such as phone cost.
"
TrackingUrlTemplate,Tracking template,trackingTemplate,String,True,True,,Attribute,"Tracking template of the main object of this row.
"
UrlCustomParameters,Custom parameter,customParameter,CustomParameters,False,True,,Attribute,"Custom URL parameters of the main object of this row.
"
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,True,,Metric,"The total value of all conversions divided by the total number of conversions.
"
ValuePerConvertedClick,Value / converted click,valueConvertedClick,Double,True,True,,Metric,"The total value of all conversions divided by the total number of converted clicks.
"
ValuePerEstimatedTotalConversion,Value / est. total conv.,valueEstTotalConv,Double,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,True,,Metric,"The value, on average, of your total estimated conversions.
"
ViewThroughConversionsSignificance,View-through conv. ACE indicator,viewThroughConvACEIndicator,SignificanceData,False,True,,Metric,"Statistical significance of the experiment's change in ViewThroughConversions.
"
Week,Week,week,String,True,True,,Segment,"The date for the Monday of the week, formatted as yyyy-MM-dd.
"
Year,Year,year,Integer,True,True,,Segment,"The year, formatted as yyyy.
"
